case,seed,task_id,tickets,work_units_completed,dispatches,observed_share
case3,27,2,100,2006000,2006,0.200600
case3,27,3,100,2061000,2061,0.206100
case3,27,4,100,2005000,2005,0.200500
case3,27,5,100,1952000,1952,0.195200
case3,28,1,100,2037000,2037,0.203700
case3,28,2,100,1995000,1995,0.199500
case3,28,3,100,1985000,1985,0.198500
case3,28,4,100,2042000,2042,0.204200
case3,28,5,100,1941000,1941,0.194100
case3,29,1,100,1965000,1965,0.196500
case3,29,2,100,1969000,1969,0.196900
case3,29,3,100,2006000,2006,0.200600
case3,29,4,100,2031000,2031,0.203100
case3,29,5,100,2029000,2029,0.202900
case3,30,1,100,2062000,2062,0.206200
case3,30,2,100,2001000,2001,0.200100
case3,30,3,100,1946000,1946,0.194600
case3,30,4,100,1961000,1961,0.196100
case3,30,5,100,2030000,2030,0.203000
case4,1,1,10,655000,655,0.065500
case4,1,2,20,1313000,1313,0.131300
case4,1,3,30,1942000,1942,0.194200
case4,1,4,40,2695000,2695,0.269500
case4,1,5,50,3395000,3395,0.339500
case4,2,1,10,627000,627,0.062700
case4,2,2,20,1310000,1310,0.131000
case4,2,3,30,2057000,2057,0.205700
case4,2,4,40,2690000,2690,0.269000
case4,2,5,50,3316000,3316,0.331600
case4,3,1,10,689000,689,0.068900
case4,3,2,20,1331000,1331,0.133100
case4,3,3,30,1982000,1982,0.198200
case4,3,4,40,2736000,2736,0.273600
case4,3,5,50,3262000,3262,0.326200
case4,4,1,10,652000,652,0.065200
case4,4,2,20,1320000,1320,0.132000
case4,4,3,30,1977000,1977,0.197700
case4,4,4,40,2761000,2761,0.276100
case4,4,5,50,3290000,3290,0.329000
case4,5,1,10,706000,706,0.070600
case4,5,2,20,1276000,1276,0.127600
case4,5,3,30,2022000,2022,0.202200
case4,5,4,40,2700000,2700,0.270000
case4,5,5,50,3296000,3296,0.329600
case4,6,1,10,685000,685,0.068500
case4,6,2,20,1268000,1268,0.126800
case4,6,3,30,2015000,2015,0.201500
case4,6,4,40,2656000,2656,0.265600
case4,6,5,50,3376000,3376,0.337600
case4,7,1,10,684000,684,0.068400
case4,7,2,20,1286000,1286,0.128600
case4,7,3,30,1984000,1984,0.198400
case4,7,4,40,2735000,2735,0.273500
case4,7,5,50,3311000,3311,0.331100
case4,8,1,10,648000,648,0.064800
