case,seed,dispatch,task_id,cumulative_share
case3,1,3800,4,0.206053
case3,1,3800,5,0.204211
case3,1,3900,1,0.192821
case3,1,3900,2,0.197949
case3,1,3900,3,0.199231
case3,1,3900,4,0.205385
case3,1,3900,5,0.204615
case3,1,4000,1,0.194500
case3,1,4000,2,0.197750
case3,1,4000,3,0.199500
case3,1,4000,4,0.205500
case3,1,4000,5,0.202750
case3,1,4100,1,0.195122
case3,1,4100,2,0.197073
case3,1,4100,3,0.198049
case3,1,4100,4,0.206098
case3,1,4100,5,0.203659
case3,1,4200,1,0.195238
case3,1,4200,2,0.198333
case3,1,4200,3,0.197857
case3,1,4200,4,0.206429
case3,1,4200,5,0.202143
case3,1,4300,1,0.196512
case3,1,4300,2,0.199070
case3,1,4300,3,0.199767
case3,1,4300,4,0.203953
case3,1,4300,5,0.200698
case3,1,4400,1,0.194318
case3,1,4400,2,0.200227
case3,1,4400,3,0.199545
case3,1,4400,4,0.205909
case3,1,4400,5,0.200000
case3,1,4500,1,0.194444
case3,1,4500,2,0.200222
case3,1,4500,3,0.200222
case3,1,4500,4,0.206444
case3,1,4500,5,0.198667
case3,1,4600,1,0.196522
case3,1,4600,2,0.200217
case3,1,4600,3,0.199130
case3,1,4600,4,0.206739
case3,1,4600,5,0.197391
case3,1,4700,1,0.196809
case3,1,4700,2,0.199787
case3,1,4700,3,0.200000
case3,1,4700,4,0.206383
case3,1,4700,5,0.197021
case3,1,4800,1,0.195000
case3,1,4800,2,0.198750
case3,1,4800,3,0.201250
case3,1,4800,4,0.207083
case3,1,4800,5,0.197917
case3,1,4900,1,0.193673
case3,1,4900,2,0.199184
case3,1,4900,3,0.201837
case3,1,4900,4,0.207347
case3,1,4900,5,0.197959
case3,1,5000,1,0.193600
case3,1,5000,2,0.199400
case3,1,5000,3,0.201200
case3,1,5000,4,0.207000
case3,1,5000,5,0.198800
case3,1,5100,1,0.194314
case3,1,5100,2,0.200000
case3,1,5100,3,0.202157
case3,1,5100,4,0.205490
case3,1,5100,5,0.198039
case3,1,5200,1,0.194038
case3,1,5200,2,0.198846
case3,1,5200,3,0.204038
case3,1,5200,4,0.205577
case3,1,5200,5,0.197500
case3,1,5300,1,0.195660
case3,1,5300,2,0.198868
case3,1,5300,3,0.203962
case3,1,5300,4,0.204340
case3,1,5300,5,0.197170
case3,1,5400,1,0.195741
case3,1,5400,2,0.199074
case3,1,5400,3,0.205000
case3,1,5400,4,0.203333
case3,1,5400,5,0.196852
case3,1,5500,1,0.195091
case3,1,5500,2,0.199273
case3,1,5500,3,0.204909
case3,1,5500,4,0.203273
case3,1,5500,5,0.197455
case3,1,5600,1,0.195179
case3,1,5600,2,0.198750
case3,1,5600,3,0.205536
case3,1,5600,4,0.203214
case3,1,5600,5,0.197321
case3,1,5700,1,0.196316
case3,1,5700,2,0.199474
case3,1,5700,3,0.205088
case3,1,5700,4,0.202632
case3,1,5700,5,0.196491
case3,1,5800,1,0.197241
case3,1,5800,2,0.199138
case3,1,5800,3,0.204138
case3,1,5800,4,0.203448
case3,1,5800,5,0.196034
case3,1,5900,1,0.196102
case3,1,5900,2,0.199831
case3,1,5900,3,0.203559
case3,1,5900,4,0.203559
case3,1,5900,5,0.196949
case3,1,6000,1,0.195500
case3,1,6000,2,0.201000
case3,1,6000,3,0.203500
case3,1,6000,4,0.204000
case3,1,6000,5,0.196000
case3,1,6100,1,0.195738
case3,1,6100,2,0.200492
case3,1,6100,3,0.203770
case3,1,6100,4,0.203770
case3,1,6100,5,0.196230
case3,1,6200,1,0.195806
case3,1,6200,2,0.200806
case3,1,6200,3,0.204032
case3,1,6200,4,0.203387
case3,1,6200,5,0.195968
case3,1,6300,1,0.196508
case3,1,6300,2,0.199841
case3,1,6300,3,0.203333
case3,1,6300,4,0.203492
case3,1,6300,5,0.196825
case3,1,6400,1,0.196250
case3,1,6400,2,0.199531
case3,1,6400,3,0.202813
case3,1,6400,4,0.203906
case3,1,6400,5,0.197500
case3,1,6500,1,0.197077
case3,1,6500,2,0.200154
case3,1,6500,3,0.202308
case3,1,6500,4,0.203385
case3,1,6500,5,0.197077
case3,1,6600,1,0.196515
case3,1,6600,2,0.200303
case3,1,6600,3,0.202879
case3,1,6600,4,0.203182
case3,1,6600,5,0.197121
case3,1,6700,1,0.195672
case3,1,6700,2,0.201642
case3,1,6700,3,0.203582
case3,1,6700,4,0.202388
case3,1,6700,5,0.196716
case3,1,6800,1,0.196029
case3,1,6800,2,0.201324
case3,1,6800,3,0.203529
case3,1,6800,4,0.201176
case3,1,6800,5,0.197941
case3,1,6900,1,0.195507
case3,1,6900,2,0.201304
case3,1,6900,3,0.203478
case3,1,6900,4,0.202319
case3,1,6900,5,0.197391
case3,1,7000,1,0.197429
case3,1,7000,2,0.200714
case3,1,7000,3,0.203286
case3,1,7000,4,0.201000
case3,1,7000,5,0.197571
case3,1,7100,1,0.197887
case3,1,7100,2,0.200563
case3,1,7100,3,0.203521
case3,1,7100,4,0.200845
case3,1,7100,5,0.197183
case3,1,7200,1,0.198194
case3,1,7200,2,0.199861
case3,1,7200,3,0.203750
case3,1,7200,4,0.200556
case3,1,7200,5,0.197639
case3,1,7300,1,0.198493
case3,1,7300,2,0.199315
case3,1,7300,3,0.203836
case3,1,7300,4,0.200822
case3,1,7300,5,0.197534
case3,1,7400,1,0.198514
case3,1,7400,2,0.199865
case3,1,7400,3,0.203919
case3,1,7400,4,0.201216
case3,1,7400,5,0.196486
case3,1,7500,1,0.198667
case3,1,7500,2,0.200400
case3,1,7500,3,0.203067
case3,1,7500,4,0.201733
case3,1,7500,5,0.196133
case3,1,7600,1,0.199079
case3,1,7600,2,0.200789
case3,1,7600,3,0.202237
case3,1,7600,4,0.201711
case3,1,7600,5,0.196184
case3,1,7700,1,0.197922
case3,1,7700,2,0.201169
case3,1,7700,3,0.201818
case3,1,7700,4,0.203247
case3,1,7700,5,0.195844
case3,1,7800,1,0.198077
case3,1,7800,2,0.201795
case3,1,7800,3,0.201282
case3,1,7800,4,0.202949
case3,1,7800,5,0.195897
case3,1,7900,1,0.199114
case3,1,7900,2,0.202025
case3,1,7900,3,0.201772
case3,1,7900,4,0.201646
case3,1,7900,5,0.195443
case3,1,8000,1,0.199500
case3,1,8000,2,0.202125
case3,1,8000,3,0.200750
case3,1,8000,4,0.201250
case3,1,8000,5,0.196375
case3,1,8100,1,0.199877
case3,1,8100,2,0.201111
case3,1,8100,3,0.201605
case3,1,8100,4,0.200617
case3,1,8100,5,0.196790
case3,1,8200,1,0.199756
case3,1,8200,2,0.201341
case3,1,8200,3,0.201220
case3,1,8200,4,0.200854
case3,1,8200,5,0.196829
case3,1,8300,1,0.200120
case3,1,8300,2,0.200964
case3,1,8300,3,0.200843
case3,1,8300,4,0.201084
case3,1,8300,5,0.196988
case3,1,8400,1,0.200476
case3,1,8400,2,0.200238
case3,1,8400,3,0.201071
case3,1,8400,4,0.201190
case3,1,8400,5,0.197024
case3,1,8500,1,0.200941
case3,1,8500,2,0.200471
case3,1,8500,3,0.201059
case3,1,8500,4,0.201294
case3,1,8500,5,0.196235
case3,1,8600,1,0.200581
case3,1,8600,2,0.200581
case3,1,8600,3,0.200814
case3,1,8600,4,0.201977
case3,1,8600,5,0.196047
case3,1,8700,1,0.200690
case3,1,8700,2,0.200920
case3,1,8700,3,0.201379
case3,1,8700,4,0.200690
case3,1,8700,5,0.196322
case3,1,8800,1,0.200795
case3,1,8800,2,0.200455
case3,1,8800,3,0.201477
case3,1,8800,4,0.200568
case3,1,8800,5,0.196705
case3,1,8900,1,0.200337
case3,1,8900,2,0.200449
case3,1,8900,3,0.202584
case3,1,8900,4,0.200337
case3,1,8900,5,0.196292
case3,1,9000,1,0.200222
case3,1,9000,2,0.200444
case3,1,9000,3,0.201556
case3,1,9000,4,0.201000
case3,1,9000,5,0.196778
case3,1,9100,1,0.199560
case3,1,9100,2,0.199890
case3,1,9100,3,0.202308
case3,1,9100,4,0.201978
